Opponent;Comunidad
Albacete Balompie;Castilla La Mancha
Panathinaikos Athens;Atenas
Racing Santander;Cantabria
Athletic Bilbao;País Vasco
Deportivo Alaves;País Vasco
RCD Mallorca;Islas Baleares
Real Zaragoza;Aragón
Real Betis Balompie;Andalucía
Celta de Vigo;Galicia
CA Osasuna;Navarrra
SV Werder Bremen;Bremen
Sevilla FC;Andalucía
Real Madrid;Madrid
Recreativo Huelva;Andalucía
Deportivo de La Coruaa;Galicia
Getafe CF;Madrid
Atletico de Madrid;Madrid
RCD Espanyol Barcelona;Cataluña
Gimnastic de Tarragona;Cataluña
Olympique Lyon;Lyon
Levante UD;Valencia
VfB Stuttgart;Stuttgart
UD Almera;
Rangers FC;Glasgow
Celtic FC;Glasgow
Valencia CF;Valencia
Sporting GijÃ³n;Asturias
Shakhtar Donetsk;Donetsk
FC Basel 1893;Basilea
Malaga CF;Andalucía
Benidorm CD;Valencia
Sporting CP;Lisboa
CD Numancia;Castilla y León
Bayern Munich;Munich
Manchester United;Manchester
Dynamo Kyiv;Kiev
Cultural Leonesa;Castilla y León
CF Atlante;Ciudad de México
Club Estudiantes de La Plata;Buenos Aires
CD Tenerife;Islas Canarias
Real Valladolid CF;Castilla y León
Arsenal FC;Londres
Villarreal CF;Valencia
FC Copenhagen;Copenague
Club Atletico de Ceuta;Ceuta
Real Sociedad;País Vasco
Hercules CF;Valencia
FC Porto;Oporto
BATE Borisov;Borisov
FC Viktoria Plzen;Pilsen
AC Milan;Milan
Rayo Vallecano;Madrid
Santos FC;Sao Paulo
Bayer 04 Leverkusen;Leverkusen
Granada CF;Andalucía
Spartak Moscow;Moscú
CÃ³rdoba CF;Andalucía
Paris Saint-Germain;París
Ajax Amsterdam;Amnsterdam
Manchester City;Manchester
Elche CF;Valencia
SD Eibar;País Vasco
APOEL Nicosia;Nicosia
AS Roma;Roma
CA River Plate;Buenos Aires
CD Leganes;Madrid
Borussia MÃ¶nchengladbach;mönchengladbach
UD Las Palmas;Islas Canarias
Juventus FC;Turin
Olympiacos Piraeus;El Pireo
Chelsea FC;Londres
Girona FC;Cataluña
SD Huesca;Aragón
PSV Eindhoven;Eindhoven
Tottenham Hotspur;Londres
Liverpool FC;Liverpool
SK Slavia Prague;Praga
Borussia Dortmund;Dortmund
SSC Napoli;Nápoles
Ferencvarosi TC;Budapest
Cadiz CF;Andalucía
RB Leipzig;Leipzig
FC Nantes;Nantes
Club Brugge KV;Brujas
LOSC Lille;Lille
FC Lorient;Lorient
RC Lens;Lens
Montpellier;Montpellier
Clermont Foot;Clermont
Maccabi Haifa;Haifa
OGC Nice;Niza
SL Benfica;Lisboa
AC Ajaccio;Ajaccio
ESTAC Troyes;Troyes
Angers SCO;Angers
Montpellier HSC;Montpellier
FC Toulouse;Toulouse
Olympique Marseille;Marsella
