Equipos;Goles;Partidos
AC Milan;8 (8†CL);8 (8†CL)
Club Atletico de Ceuta;1 (1†CdR);1 (1†CdR)
AS Roma;2 (2 CL);4 (CL)
AC Ajaccio;1 (1†Liga);1 (1†Liga)
Ajax Amsterdam;6 (6†CL);3 (3†CL)
Albacete Balompie;1 (1†Liga);2 (2†Liga)
Angers SCO;1 (1†Liga);1 (1†Liga)
APOEL Nicosia;3 (3†CL);2 (2†CL)
Arsenal FC;9 (9†CL);6 (6†CL)
Athletic Bilbao;29 (18†Liga, 8†CdR, 3†SCE);41 (27†Liga, 10†CdR, 4†SCE)
Atletico de Madrid;32 (26†Liga, 5†CdR, 1†SCE);43 (30†Liga, 6†CdR, 4†CL, 3†SCE)
Borussia M√∂nchengladbach;1 (1†CL);1 (1†CL)
BATE Borisov;2 (2†CL);1 (1†CL)
Bayer 04 Leverkusen;7 (7†CL);3 (3†CL)
Bayern Munich;4 (4†CL);6 (6†CL)
Benidorm CD;1 (1†CdR);1 (1†CdR)
Borussia Dortmund;1 (1†CL);2 (2†CL)
CA Osasuna;25 (23†Liga, 2†CdR);22 (20†Liga, 2†CdR)
CD Leganes;11 (9†Liga, 2†CdR);9 (8†Liga, 1†CdR)
CD Numancia;2 (2†Liga);2 (2†Liga)
CD Tenerife;5 (5†Liga);2 (2†Liga)
CF Atlante;1 (1†MC);1 (1†MC)
Cadiz CF;1 (1†Liga);3 (3†Liga)
Celta de Vigo;13 (11†Liga, 2†CdR);18 (17†Liga, 1†CdR)
Celtic FC;8 (8†CL);6 (6†CL)
Chelsea FC;3 (3†CL);10 (10†CL)
Clermont Foot;2 (2†Liga);2 (2†Liga)
Club Brugge KV;2 (2 CL);2 (2 CL)
C√≥rdoba CF;6 (4†Liga, 2†CdR);3 (2†Liga, 1†CdR)
Cultural Leonesa;1 (1†CdR);1 (1†CdR)
Deportivo Alaves;13 (12†Liga, 1†CdR);12 (11†Liga, 1†CdR)
Deportivo de La Coruaa;20 (20†Liga);17 (17†Liga)
Dynamo Kyiv;3 (3†CL);3 (3†CL)
Elche CF;7 (6†Liga, 1†CdR);5 (4†Liga, 1†CdR)
Club Estudiantes de La Plata;1 (1†MC);1 (1†MC)
FC Basel 1893;2 (2†CL);2 (2†CL)
FC Copenhagen;3 (3†CL);2 (2†CL)
FC Porto;1 (1†SCEU);1 (1†SCEU)
FC Lorient;1 (1†Liga);2 (2†Liga)
FC Nantes;2 (1†Liga, 1†SCF);2 (1†Liga, 1†SCF)
Ferencvarosi TC;1 (1†CL);1 (1†CL)
Getafe CF;21 (15†Liga, 6†CdR);27 (24†Liga, 3†CdR)
Girona FC;4 (4 Liga);4 (4 Liga)
Granada CF;15 (15†Liga);15 (14†Liga, 1†CdR)
Hercules CF;2 (2†Liga);2 (2†Liga)
Juventus FC;3 (3†CL);9 (9 CL)
Levante UD;24 (23†Liga, 1 CdR);23 (21†Liga, 2†CdR)
LOSC Lille;2 (2†Liga);3 (3†Liga)
Liverpool FC;2 (2†CL);4 (4 CL)
Maccabi Haifa;3 (1†CL);2 (2†CL)
Malaga CF;13 (11†Liga, 2†CdR);19 (17†Liga, 2†CdR)
Manchester City;7 (7†CL);8 (8†CL)
Manchester United;4 (4†CL);6 (6†CL)
Montpellier;3 (3†Liga);3 (3†Liga)
Gimnastic de Tarragona;2 (2†Liga);1 (1†Liga)
OGC Nice;1 (1†Liga);4 (3†Liga, 1†Copa)
Olympiacos Piraeus;1 (1†CL);2 (2†CL)
Olympique Lyon;6 (5†CL, 1†Liga);8 (6†CL, 2†Liga)
PSV Eindhoven;4 (4 CL);2 (2 CL)
Panathinaikos Athens;4 (4†CL);4 (4†CL)
Paris Saint-Germain;6 (6†CL);10 (10†CL)
RCD Espanyol Barcelona;25 (22†Liga, 3 CdR);35 (27†Liga, 6†CdR, 2†SCE)
RCD Mallorca;16 (15†Liga, 1†CdR);14 (13†Liga, 1†CdR)
RB Leipzig;2 (2†CL);1 (1†CL)
RC Lens;1 (1†Liga);2 (2†Liga)
Racing Santander;12 (12†Liga);13 (13†Liga)
Rangers FC;1 (1†CL);2 (2†CL)
Rayo Vallecano;18 (17†Liga, 1†CdR);11 (10†Liga, 1†CdR)
Real Betis Balompie;26 (22†Liga, 4†CdR);24 (22†Liga, 2†CdR)
Real Madrid;26 (18†Liga, 6†SCE, 2†CL);47 (29†Liga, 8†CdR, 6†SCE, 4†CL)
Real Sociedad;18 (16†Liga, 2†CdR);27 (23†Liga, 4†CdR)
Real Valladolid CF;8 (8†Liga);12 (12†Liga)
Real Zaragoza;14 (13†Liga, 1†CdR);16 (13†Liga, 3†CdR)
Recreativo Huelva;3 (3†Liga);5 (5†Liga)
CA River Plate;1 (1†MC);1 (1†MC)
SD Eibar;20 (20†Liga);11 (11†Liga)
SD Huesca;4 (4 Liga);3 (3 Liga)
SSC Napoli;1 (1†CL);2 (2†CL)
SL Benfica;1 (1†CL);3 (3†CL)
Santos FC;2 (2†MC);1 (1†MC)
Sevilla FC;38 (29†Liga, 4†SCE, 2†SCEU, 2 CdR);43 (29†Liga, 7†CdR, 5†SCE, 2†SCEU)
Shakhtar Donetsk;3 (3†CL);5 (4†CL, 1†SCEU)
SK Slavia Prague;1 (1†CL);2 (2†CL)
Spartak Moscow;4 (4†CL);2 (2†CL)
Sporting Gij√≥n;6 (6†Liga);8 (8†Liga)
Sporting CP;1 (1†CL);4 (4†CL)
Tottenham Hotspur;2 (2 CL);2 (2 CL)
FC Toulouse;1 (1†Liga);2 (2†Liga)
ESTAC Troyes;1 (1†Liga);2 (2†Liga)
UD Almera;13 (11†Liga, 2†CdR);12 (11†Liga, 1†CdR)
UD Las Palmas;4 (4†Liga);6 (6†Liga)
Valencia CF;31 (27†Liga, 4 CdR);36 (29†Liga, 7†CdR)
VfB Stuttgart;3 (3†CL);3 (3†CL)
FC Viktoria Plzen;3 (3†CL);2 (2†CL)
Villarreal CF;16 (15†Liga, 1†CdR);28 (24†Liga, 4†CdR)
SV Werder Bremen;1 (1†CL);2 (2†CL)
Olympique Marseille;1 (liga);1 (liga)
