Club;Temporada;Liga;;;Copas (1);;;Internacional (2);;;Total (3);;;Media
;;Part.;Goles;Asist.;Part.;Goles;Asist.;Part.;Goles;Asist.;Part.;Goles;Asist.;goleadora
FC Barcelona;2004-05;7;1;–;1;–;–;1;–;–;9;1;0;0.11
FC Barcelona;2005-06;17;6;2;2;1;–;6;1;1;25;8;3;0.32
FC Barcelona;2006-07;26;14;2;4;2;1;6;1;–;36;17;3;0.47
FC Barcelona;2007-08;28;10;12;3;–;–;9;6;1;40;16;13;0.4
FC Barcelona;2008-09;31;23;11;8;6;1;12;9;5;51;38;17;0.75
FC Barcelona;2009-10;35;34;10;4;3;–;14;10;1;53;47;11;0.89
FC Barcelona;2010-11;33;31;18;9;10;2;13;12;3;55;53;23;0.96
FC Barcelona;2011-12;37;50;16;9;6;6;14;17;8;60;73;30;1.22
FC Barcelona;2012-13;32;46;12;7;6;1;11;8;2;50;60;15;1.2
FC Barcelona;2013-14;31;28;11;8;5;3;7;8;–;46;41;14;0.89
FC Barcelona;2014-15;38;43;18;6;5;4;13;10;5;57;58;27;1.02
FC Barcelona;2015-16;33;26;16;7;6;6;9;9;1;49;41;23;0.84
FC Barcelona;2016-17;34;37;9;9;6;5;9;11;2;52;54;16;1.04
FC Barcelona;2017-18;36;34;12;8;5;4;10;6;2;54;45;18;0.83
FC Barcelona;2018-19;34;36;13;6;3;3;10;12;3;50;51;19;1.02
FC Barcelona;2019-20;33;25;21;3;3;1;8;3;3;44;31;25;0.7
FC Barcelona;2020-21;35;30;9;6;3;1;6;5;2;47;38;12;0.81
Paris Sait-Germain;2021-22;26;6;14;1;–;–;7;5;–;34;11;14;0.32
Paris Sait-Germain;2022-23;32;16;16;2;1;–;7;4;4;41;21;20;0.51
Inter Miami;2023-24;4;1;2;1;0;2;7;10;1;12;11;5;0.92
